id,max_temp,min_temp,min_temp_by_month,max_temp_by_month,meta
13818,28.87,24.988000000000003,"[28.329, 28.433000000000003, 27.624000000000002, 26.58, 27.494, 26.721, 26.269000000000002, 25.163, 24.988000000000003, 25.93, 27.206999999999997, 28.416999999999998]","[28.691, 28.825, 28.165, 27.874000000000002, 28.3, 27.578000000000003, 26.815, 26.31, 26.235, 27.426, 28.364, 28.87]","{""source"": {""lat"": -9.5, ""lng"": 115.5, ""dist_euclid"": 0.9773671623294892}}"
13819,28.87,24.988000000000003,"[28.329, 28.433000000000003, 27.624000000000002, 26.58, 27.494, 26.721, 26.269000000000002, 25.163, 24.988000000000003, 25.93, 27.206999999999997, 28.416999999999998]","[28.691, 28.825, 28.165, 27.874000000000002, 28.3, 27.578000000000003, 26.815, 26.31, 26.235, 27.426, 28.364, 28.87]","{""source"": {""lat"": -9.5, ""lng"": 115.5, ""dist_euclid"": 0.9698445442440772}}"
13820,28.87,24.988000000000003,"[28.329, 28.433000000000003, 27.624000000000002, 26.58, 27.494, 26.721, 26.269000000000002, 25.163, 24.988000000000003, 25.93, 27.206999999999997, 28.416999999999998]","[28.691, 28.825, 28.165, 27.874000000000002, 28.3, 27.578000000000003, 26.815, 26.31, 26.235, 27.426, 28.364, 28.87]","{""source"": {""lat"": -9.5, ""lng"": 115.5, ""dist_euclid"": 0.9650733702677738}}"
13821,28.87,24.988000000000003,"[28.329, 28.433000000000003, 27.624000000000002, 26.58, 27.494, 26.721, 26.269000000000002, 25.163, 24.988000000000003, 25.93, 27.206999999999997, 28.416999999999998]","[28.691, 28.825, 28.165, 27.874000000000002, 28.3, 27.578000000000003, 26.815, 26.31, 26.235, 27.426, 28.364, 28.87]","{""source"": {""lat"": -9.5, ""lng"": 115.5, ""dist_euclid"": 0.8247088698443836}}"
13822,28.87,24.988000000000003,"[28.329, 28.433000000000003, 27.624000000000002, 26.58, 27.494, 26.721, 26.269000000000002, 25.163, 24.988000000000003, 25.93, 27.206999999999997, 28.416999999999998]","[28.691, 28.825, 28.165, 27.874000000000002, 28.3, 27.578000000000003, 26.815, 26.31, 26.235, 27.426, 28.364, 28.87]","{""source"": {""lat"": -9.5, ""lng"": 115.5, ""dist_euclid"": 0.8426423737268376}}"
13823,28.87,24.988000000000003,"[28.329, 28.433000000000003, 27.624000000000002, 26.58, 27.494, 26.721, 26.269000000000002, 25.163, 24.988000000000003, 25.93, 27.206999999999997, 28.416999999999998]","[28.691, 28.825, 28.165, 27.874000000000002, 28.3, 27.578000000000003, 26.815, 26.31, 26.235, 27.426, 28.364, 28.87]","{""source"": {""lat"": -9.5, ""lng"": 115.5, ""dist_euclid"": 0.7987819539774292}}"
13824,28.87,24.988000000000003,"[28.329, 28.433000000000003, 27.624000000000002, 26.58, 27.494, 26.721, 26.269000000000002, 25.163, 24.988000000000003, 25.93, 27.206999999999997, 28.416999999999998]","[28.691, 28.825, 28.165, 27.874000000000002, 28.3, 27.578000000000003, 26.815, 26.31, 26.235, 27.426, 28.364, 28.87]","{""source"": {""lat"": -9.5, ""lng"": 115.5, ""dist_euclid"": 0.765756540944967}}"
13825,29.084,26.804000000000002,"[NaN, 26.804000000000002, 27.6, 28.822, 28.691999999999997, 28.919, 28.625999999999998, 27.651999999999997, 28.224, 29.084, 29.013]","[NaN, 27.43, 27.629, 29.59, 28.892, 28.965999999999998, 28.706, 27.778000000000002, 28.63, 29.614, 29.375]","{""source"": {""lat"": -5.5, ""lng"": 110.5, ""dist_euclid"": 0.3902687407415556}}"
13826,18.791,12.857999999999999,"[16.48, 18.565, 17.153, 17.514, 15.308, 13.987, 13.088, 12.857999999999999, 13.023, 13.213, 13.904000000000002, 15.132]","[16.772000000000002, 18.791, 17.477999999999998, 17.683, 15.617, 14.011, 13.124, 13.075, 13.147, 14.116, 14.046, 15.672]","{""source"": {""lat"": -39.5, ""lng"": 145.5, ""dist_euclid"": 1.4272747808323358}}"
13827,29.941,27.355999999999998,"[27.355999999999998, 27.793000000000003, 28.726, 29.182, 28.515, 28.988000000000003, 27.763, 28.095, 27.918000000000003, 28.858, 28.186, 27.8]","[27.504, 28.088, 29.165, 29.941, 29.683000000000003, 29.509, 28.764, 28.315, 28.362, 28.979, 28.346, 28.195]","{""source"": {""lat"": 8.5, ""lng"": 82.5, ""dist_euclid"": 1.2566045400204489}}"
13828,29.941,27.355999999999998,"[27.355999999999998, 27.793000000000003, 28.726, 29.182, 28.515, 28.988000000000003, 27.763, 28.095, 27.918000000000003, 28.858, 28.186, 27.8]","[27.504, 28.088, 29.165, 29.941, 29.683000000000003, 29.509, 28.764, 28.315, 28.362, 28.979, 28.346, 28.195]","{""source"": {""lat"": 8.5, ""lng"": 82.5, ""dist_euclid"": 1.23145134292834}}"
13829,30.45,23.686,"[28.180999999999997, 28.265, 28.774, 29.230999999999998, 29.828000000000003, 25.991999999999997, 24.331, 23.686, 24.035, 26.268, 28.028000000000002, 28.456]","[28.263, 28.339000000000002, 29.308000000000003, 30.044, 30.45, 28.031, 27.051, 26.962, 27.418000000000003, 28.214000000000002, 28.883000000000003, 28.524]","{""source"": {""lat"": 9.5, ""lng"": 75.5, ""dist_euclid"": 1.0644437514495486}}"
13831,29.523000000000003,27.229,"[28.468000000000004, 28.599, 28.791, 29.002, 29.239, 29.182, 28.662, 27.915, 27.229, 27.983, 28.432, 28.613000000000003]","[28.578000000000003, 28.726999999999997, 28.958000000000002, 29.239, 29.449, 29.523000000000003, 28.959, 28.429000000000002, 28.486, 28.758000000000003, 28.916999999999998, 28.79]","{""source"": {""lat"": -6.5, ""lng"": 105.5, ""dist_euclid"": 1.054252161486997}}"
13832,28.62,28.62,"[28.676, NaN, 28.756999999999998, 29.160999999999998, 29.89, 29.906999999999996, 29.965999999999998, 29.531, 28.086, 28.75, NaN, 28.62]","[28.788, NaN, 29.136999999999997, 29.84, 30.002, 30.019000000000002, 29.989, 29.596, 28.315, 28.858, NaN, 28.694000000000003]","{""source"": {""lat"": -2.5, ""lng"": 99.5, ""dist_euclid"": 0.5399912036320599}}"
13833,28.62,28.62,"[28.676, NaN, 28.756999999999998, 29.160999999999998, 29.89, 29.906999999999996, 29.965999999999998, 29.531, 28.086, 28.75, NaN, 28.62]","[28.788, NaN, 29.136999999999997, 29.84, 30.002, 30.019000000000002, 29.989, 29.596, 28.315, 28.858, NaN, 28.694000000000003]","{""source"": {""lat"": -2.5, ""lng"": 99.5, ""dist_euclid"": 0.5157055846119948}}"
13834,28.98,27.000999999999998,"[27.421, 27.000999999999998, 28.97]","[27.506, 27.706, 28.98]","{""source"": {""lat"": 5.5, ""lng"": 72.5, ""dist_euclid"": 0.9671850133247489}}"
13835,28.98,27.000999999999998,"[27.421, 27.000999999999998, 28.97]","[27.506, 27.706, 28.98]","{""source"": {""lat"": 5.5, ""lng"": 72.5, ""dist_euclid"": 0.9671850133247489}}"
13836,28.98,27.000999999999998,"[27.421, 27.000999999999998, 28.97]","[27.506, 27.706, 28.98]","{""source"": {""lat"": 5.5, ""lng"": 72.5, ""dist_euclid"": 0.9582296854095091}}"
13837,28.98,27.000999999999998,"[27.421, 27.000999999999998, 28.97]","[27.506, 27.706, 28.98]","{""source"": {""lat"": 5.5, ""lng"": 72.5, ""dist_euclid"": 0.9414081792718855}}"
13838,28.98,27.000999999999998,"[27.421, 27.000999999999998, 28.97]","[27.506, 27.706, 28.98]","{""source"": {""lat"": 5.5, ""lng"": 72.5, ""dist_euclid"": 0.8980479385868065}}"
13839,28.98,27.000999999999998,"[27.421, 27.000999999999998, 28.97]","[27.506, 27.706, 28.98]","{""source"": {""lat"": 5.5, ""lng"": 72.5, ""dist_euclid"": 0.8632374528482859}}"
13840,30.598000000000003,27.544,"[27.544, 28.365, 28.754, 29.691999999999997, 30.525, 29.526999999999997, 28.857, 27.697, 27.982, 27.941, 28.191, 27.831999999999997]","[27.641, 28.445, 29.146, 30.041, 30.598000000000003, 29.714000000000002, 28.975, 28.225, 28.072, 28.037, 28.373, 28.409000000000002]","{""source"": {""lat"": 4.5, ""lng"": 73.5, ""dist_euclid"": 0.19460516437134875}}"
13841,29.276999999999997,27.338,"[28.101, 27.338, 28.936, 28.439, 28.746, 28.668000000000003, 29.006, 28.774, 28.384]","[28.174, 27.726999999999997, 29.276999999999997, 29.226, 28.833000000000002, 28.865, 29.158, 28.885, 28.522]","{""source"": {""lat"": 3.5, ""lng"": 72.5, ""dist_euclid"": 0.38544432801637746}}"
13842,29.276999999999997,27.338,"[28.101, 27.338, 28.936, 28.439, 28.746, 28.668000000000003, 29.006, 28.774, 28.384]","[28.174, 27.726999999999997, 29.276999999999997, 29.226, 28.833000000000002, 28.865, 29.158, 28.885, 28.522]","{""source"": {""lat"": 3.5, ""lng"": 72.5, ""dist_euclid"": 0.41078424994149904}}"
13843,29.276999999999997,27.338,"[28.101, 27.338, 28.936, 28.439, 28.746, 28.668000000000003, 29.006, 28.774, 28.384]","[28.174, 27.726999999999997, 29.276999999999997, 29.226, 28.833000000000002, 28.865, 29.158, 28.885, 28.522]","{""source"": {""lat"": 3.5, ""lng"": 72.5, ""dist_euclid"": 0.30818500936937243}}"
13844,29.276999999999997,27.338,"[28.101, 27.338, 28.936, 28.439, 28.746, 28.668000000000003, 29.006, 28.774, 28.384]","[28.174, 27.726999999999997, 29.276999999999997, 29.226, 28.833000000000002, 28.865, 29.158, 28.885, 28.522]","{""source"": {""lat"": 3.5, ""lng"": 72.5, ""dist_euclid"": 0.3516331184629831}}"
13845,29.276999999999997,27.338,"[28.101, 27.338, 28.936, 28.439, 28.746, 28.668000000000003, 29.006, 28.774, 28.384]","[28.174, 27.726999999999997, 29.276999999999997, 29.226, 28.833000000000002, 28.865, 29.158, 28.885, 28.522]","{""source"": {""lat"": 3.5, ""lng"": 72.5, ""dist_euclid"": 0.35611719980927786}}"
13846,29.276999999999997,27.338,"[28.101, 27.338, 28.936, 28.439, 28.746, 28.668000000000003, 29.006, 28.774, 28.384]","[28.174, 27.726999999999997, 29.276999999999997, 29.226, 28.833000000000002, 28.865, 29.158, 28.885, 28.522]","{""source"": {""lat"": 3.5, ""lng"": 72.5, ""dist_euclid"": 0.33990117681466747}}"
13847,28.105,22.787,"[27.476, 26.831999999999997, 27.247, 27.122, 26.924, 25.521, 23.69, 23.521, 22.787, 23.604, 24.653000000000002, 24.386]","[27.863000000000003, 27.314, 28.105, 27.386, 26.974, 25.545, 24.323, 23.621, 23.195999999999998, 23.906999999999996, 25.009, 25.118000000000002]","{""source"": {""lat"": -21.5, ""lng"": 114.5, ""dist_euclid"": 0.4421249823296597}}"
13848,29.156,16.204,"[18.183, 25.328000000000003, 25.623, 21.156999999999996, 19.564, 16.934, 16.635, 17.129, 16.204, 17.775, 18.447, 18.747]","[21.191999999999997, 28.572, 29.156, 24.07, 23.587, 20.926, 18.36, 18.930999999999997, 18.924, 20.973000000000003, 23.358, 22.253]","{""source"": {""lat"": -13.5, ""lng"": 12.5, ""dist_euclid"": 0.36838515170945807}}"
13849,28.949,25.595,"[27.406, 28.503, 28.949, 28.083000000000002, 27.85, 27.565, 27.448, 26.7, 26.92, 25.595, 27.3, 27.0]","[28.052, 28.788, 29.245, 28.2, 28.023000000000003, 27.598000000000003, 27.504, 26.7, 26.986, 25.697, 27.5, 27.139]","{""source"": {""lat"": -12.5, ""lng"": 96.5, ""dist_euclid"": 0.5317514927106438}}"
13850,29.295,25.213,"[28.199, 27.785, 28.569000000000003, 28.656999999999996, 27.801, 26.861, 25.467, 25.213, 25.238000000000003, 26.087, 26.86, 27.593000000000004]","[28.443, 28.053, 29.295, 28.784000000000002, 27.99, 26.983, 25.767, 25.357, 25.395, 26.320999999999998, 27.143, 27.735]","{""source"": {""lat"": -4.5, ""lng"": 40.5, ""dist_euclid"": 0.9306133944877438}}"
13851,29.295,25.213,"[28.199, 27.785, 28.569000000000003, 28.656999999999996, 27.801, 26.861, 25.467, 25.213, 25.238000000000003, 26.087, 26.86, 27.593000000000004]","[28.443, 28.053, 29.295, 28.784000000000002, 27.99, 26.983, 25.767, 25.357, 25.395, 26.320999999999998, 27.143, 27.735]","{""source"": {""lat"": -4.5, ""lng"": 40.5, ""dist_euclid"": 0.8969444185678372}}"
13852,29.295,25.213,"[28.199, 27.785, 28.569000000000003, 28.656999999999996, 27.801, 26.861, 25.467, 25.213, 25.238000000000003, 26.087, 26.86, 27.593000000000004]","[28.443, 28.053, 29.295, 28.784000000000002, 27.99, 26.983, 25.767, 25.357, 25.395, 26.320999999999998, 27.143, 27.735]","{""source"": {""lat"": -4.5, ""lng"": 40.5, ""dist_euclid"": 0.8986439840114672}}"
13853,29.295,25.213,"[28.199, 27.785, 28.569000000000003, 28.656999999999996, 27.801, 26.861, 25.467, 25.213, 25.238000000000003, 26.087, 26.86, 27.593000000000004]","[28.443, 28.053, 29.295, 28.784000000000002, 27.99, 26.983, 25.767, 25.357, 25.395, 26.320999999999998, 27.143, 27.735]","{""source"": {""lat"": -4.5, ""lng"": 40.5, ""dist_euclid"": 0.8273481552526704}}"
13854,22.631999999999998,18.834,"[20.854, 21.599, 22.404, 22.366, 21.989, 21.302, 20.123, 19.563, 18.834, 18.914, 19.487000000000002, 20.054000000000002]","[21.313000000000002, 22.044, 22.631999999999998, 22.476, 22.125, 21.47, 20.33, 19.7, 19.008, 19.113, 19.692999999999998, 20.392]","{""source"": {""lat"": -32.5, ""lng"": 115.5, ""dist_euclid"": 0.5698997894367029}}"
13855,22.631999999999998,18.834,"[20.854, 21.599, 22.404, 22.366, 21.989, 21.302, 20.123, 19.563, 18.834, 18.914, 19.487000000000002, 20.054000000000002]","[21.313000000000002, 22.044, 22.631999999999998, 22.476, 22.125, 21.47, 20.33, 19.7, 19.008, 19.113, 19.692999999999998, 20.392]","{""source"": {""lat"": -32.5, ""lng"": 115.5, ""dist_euclid"": 0.5048147779136456}}"
13856,22.631999999999998,18.834,"[20.854, 21.599, 22.404, 22.366, 21.989, 21.302, 20.123, 19.563, 18.834, 18.914, 19.487000000000002, 20.054000000000002]","[21.313000000000002, 22.044, 22.631999999999998, 22.476, 22.125, 21.47, 20.33, 19.7, 19.008, 19.113, 19.692999999999998, 20.392]","{""source"": {""lat"": -32.5, ""lng"": 115.5, ""dist_euclid"": 0.4848895131883129}}"
